1,1837,2467,1363,84,59,-1,-1
1,1840,1713,1177,218,119,-1,-1
2,1837,2467,1363,84,59,-1,-1
2,1840,1713,1177,218,119,-1,-1
3,1837,2467,1363,84,59,-1,-1
3,1840,1713,1177,218,119,-1,-1
4,1837,2467,1363,84,59,-1,-1
4,1840,1713,1177,218,119,-1,-1
5,1837,2467,1363,84,59,-1,-1
5,1840,1713,1177,218,119,-1,-1
6,1837,2467,1363,84,59,-1,-1
6,1840,1713,1177,218,119,-1,-1
7,1837,2467,1363,84,59,-1,-1
7,1840,1713,1177,218,119,-1,-1
8,1837,2467,1363,84,59,-1,-1
8,1840,1713,1177,218,119,-1,-1
9,1837,2467,1363,84,59,-1,-1
9,1840,1713,1177,218,119,-1,-1
10,1837,2467,1363,84,59,-1,-1
10,1840,1713,1177,218,119,-1,-1
11,1837,2468,1363,84,59,-1,-1
11,1840,1713,1177,218,119,-1,-1
12,1837,2468,1363,84,59,-1,-1
12,1840,1713,1177,218,119,-1,-1
13,1837,2468,1363,84,59,-1,-1
13,1840,1713,1177,218,119,-1,-1
14,1837,2468,1363,84,59,-1,-1
14,1840,1713,1177,218,119,-1,-1
15,1837,2468,1363,84,59,-1,-1
15,1840,1713,1177,218,119,-1,-1
16,1837,2468,1363,83,59,-1,-1
16,1840,1713,1177,218,119,-1,-1
17,1837,2468,1363,83,59,-1,-1
17,1840,1713,1177,218,119,-1,-1
18,1837,2468,1363,83,59,-1,-1
18,1840,1713,1177,218,119,-1,-1
19,1837,2468,1363,83,59,-1,-1
19,1840,1713,1177,218,119,-1,-1
20,1837,2468,1363,83,59,-1,-1
20,1840,1713,1177,218,119,-1,-1
21,1837,2468,1363,83,59,-1,-1
21,1840,1713,1177,218,119,-1,-1
22,1837,2468,1363,83,59,-1,-1
22,1840,1713,1177,218,119,-1,-1
23,1837,2468,1363,83,59,-1,-1
23,1840,1713,1177,218,119,-1,-1
24,1837,2468,1363,83,59,-1,-1
24,1840,1713,1177,218,119,-1,-1
25,1837,2468,1363,83,59,-1,-1
25,1840,1713,1177,218,119,-1,-1
26,1837,2468,1363,83,59,-1,-1
