1,1821,1693,238,111,107,-1,-1
1,1813,1357,107,303,163,-1,-1
1,1824,1458,325,251,177,-1,-1
1,1825,1564,243,136,111,-1,-1
1,1830,1744,114,96,48,-1,-1
2,1821,1693,238,111,107,-1,-1
2,1813,1341,107,300,162,-1,-1
2,1824,1457,325,251,176,-1,-1
2,1825,1564,243,136,111,-1,-1
2,1830,1744,114,96,48,-1,-1
3,1821,1693,238,111,107,-1,-1
3,1813,1324,107,298,161,-1,-1
3,1824,1457,325,251,176,-1,-1
3,1825,1563,243,137,111,-1,-1
3,1830,1744,114,96,48,-1,-1
4,1821,1693,238,111,107,-1,-1
4,1813,1307,107,296,160,-1,-1
4,1824,1457,325,251,176,-1,-1
4,1825,1562,244,137,111,-1,-1
4,1830,1744,114,96,48,-1,-1
5,1821,1693,238,111,107,-1,-1
5,1813,1289,107,295,158,-1,-1
5,1824,1457,325,251,175,-1,-1
5,1825,1562,244,138,110,-1,-1
5,1830,1744,114,96,48,-1,-1
6,1821,1693,238,111,107,-1,-1
6,1813,1270,107,295,157,-1,-1
6,1824,1457,325,251,175,-1,-1
6,1825,1561,244,139,110,-1,-1
6,1830,1744,114,96,48,-1,-1
7,1821,1693,238,111,107,-1,-1
7,1813,1251,107,295,156,-1,-1
7,1824,1457,325,251,175,-1,-1
7,1825,1561,244,139,110,-1,-1
7,1830,1744,114,96,48,-1,-1
8,1821,1693,238,111,107,-1,-1
8,1813,1232,107,296,155,-1,-1
8,1824,1457,325,251,175,-1,-1
8,1825,1561,244,139,110,-1,-1
8,1830,1744,114,96,48,-1,-1
9,1821,1693,238,111,107,-1,-1
9,1813,1213,106,296,153,-1,-1
9,1824,1457,325,251,175,-1,-1
9,1825,1561,244,139,110,-1,-1
9,1830,1744,114,96,48,-1,-1
10,1821,1693,238,111,107,-1,-1
10,1813,1193,106,298,152,-1,-1
10,1824,1457,325,251,175,-1,-1
10,1825,1561,244,138,110,-1,-1
10,1830,1744,114,96,48,-1,-1
11,1821,1693,238,111,107,-1,-1
